month,day,year,id,age,kg.meat,hours,datatype
10,2,1981,3043,67,0,6.97,1
10,3,1981,3043,67,0,9,1
10,4,1981,3043,67,0,1.55,1
10,5,1981,3043,67,4.5,8,1
10,6,1981,3043,67,0,3,1
10,7,1981,3043,67,0,7.5,1
10,8,1981,3043,67,0,9,1
2,6,1982,3043,68,0,7.3,1
2,7,1982,3043,68,0,8.1,1
2,8,1982,3043,68,0,6,1
2,9,1982,3043,68,0,8,1
2,10,1982,3043,68,0,6.6,1
2,11,1982,3043,68,0,7.1,1
2,12,1982,3043,68,0,8.3,1
2,13,1982,3043,68,0,7.8,1
2,14,1982,3043,68,0,7.8,1
2,15,1982,3043,68,2.8,3.4,1
3,29,1982,3043,68,0,9.8,1
3,30,1982,3043,68,0,9.6,1
3,31,1982,3043,68,0,8.1,1
4,1,1982,3043,68,0,8.6,1
4,2,1982,3043,68,0,5.7,1
4,3,1982,3043,68,5.5,8.7,1
4,4,1982,3043,68,0,7.7,1
4,5,1982,3043,68,0,11.2,1
4,6,1982,3043,68,0,9.7,1
3,31,1980,3059,62,0,8,1
4,1,1980,3059,62,0,9.8,1
4,2,1980,3059,62,0,6,1
12,10,1981,3059,63,0,7.2,1
12,11,1981,3059,63,0,9,1
12,12,1981,3059,63,0,11,1
12,13,1981,3059,63,0,0.4,1
12,14,1981,3059,63,3.9,5.2,1
12,15,1981,3059,63,0,5.9,1
4,18,1982,3059,64,0,6.7,1
4,19,1982,3059,64,0,5.3,1
4,20,1982,3059,64,0,8,1
4,21,1982,3059,64,0,4.4,1
4,22,1982,3059,64,0,2.1,1
4,23,1982,3059,64,0,9,1
4,24,1982,3059,64,3,9.4,1
4,25,1982,3059,64,0.45,7.7,1
4,26,1982,3059,64,0,7.1,1
3,31,1980,3079,56,0,7.8,1
4,1,1980,3079,56,0.85,9.8,1
4,2,1980,3079,56,0,5.4,1
4,25,1980,3080,56,5.7,6.7,1
4,26,1980,3080,56,0,9,1
4,28,1980,3080,56,1,8,1
4,29,1980,3080,56,24.36,4.5,1
4,30,1980,3080,56,0,7,1
5,2,1980,3080,56,0,6.8,1
5,15,1980,3080,56,4.4,7.5,1
5,16,1980,3080,56,0,9.8,1
5,17,1980,3080,56,8.9,6.3,1
5,18,1980,3080,56,0,5.8,1
5,19,1980,3080,56,0,5.2,1
11,6,1981,3080,57,0,7.5,1
11,7,1981,3080,57,0,5.2,1
11,8,1981,3080,57,0,8,1
11,10,1981,3080,57,3.93,9.1,1
11,11,1981,3080,57,0,8,1
11,12,1981,3080,57,41,3.9,1
11,13,1981,3080,57,0,3.9,1
8,15,1995,3089,69,4.96,NA,3
8,28,1995,3089,69,4.87,NA,3
6,15,1996,3089,70,0,NA,3
10,21,1999,3103,71,0,NA,3
10,22,1999,3103,71,0,NA,3
10,23,1999,3103,71,0,NA,3
10,24,1999,3103,71,7.8,NA,3
12,17,1999,3103,71,9.82,NA,3
12,18,1999,3103,71,9.82,NA,3
12,26,1999,3103,71,8.74,NA,3
12,29,1999,3103,71,0,NA,3
12,30,1999,3103,71,0,NA,3
12,31,1999,3103,71,0,NA,3
1,1,2000,3103,72,8.74,NA,3
1,2,2000,3103,72,0,NA,3
2,5,2000,3103,72,5.02,NA,3
2,10,2000,3103,72,0,NA,3
2,11,2000,3103,72,0,NA,3
2,12,2000,3103,72,0,NA,3
5,9,2000,3103,72,0,NA,3
5,10,2000,3103,72,8.74,NA,3
5,11,2000,3103,72,4.87,NA,3
6,29,2000,3103,72,0,NA,3
6,30,2000,3103,72,4.87,NA,3
7,1,2000,3103,72,0,NA,3
7,16,2000,3103,72,0,NA,3
7,17,2000,3103,72,4.96,NA,3
7,18,2000,3103,72,9.82,NA,3
7,19,2000,3103,72,0,NA,3
7,20,2000,3103,72,0,NA,3
7,21,2000,3103,72,0,NA,3
10,7,2000,3103,72,0,NA,3
10,8,2000,3103,72,0,NA,3
10,9,2000,3103,72,0,NA,3
10,10,2000,3103,72,4.96,NA,3
10,11,2000,3103,72,0,NA,3
10,12,2000,3103,72,0,NA,3
10,13,2000,3103,72,0,NA,3
10,14,2000,3103,72,0,NA,3
10,15,2000,3103,72,0,NA,3
1,29,2001,3103,71,0,NA,3
1,30,2001,3103,71,0,NA,3
1,31,2001,3103,71,0,NA,3
2,1,2001,3103,71,0,NA,3
2,14,2004,3103,74,0,NA,3
2,18,2005,3103,75,0,NA,3
4,25,1980,3104,50,2,6.7,1
4,26,1980,3104,50,0,9,1
4,28,1980,3104,50,0,8.5,1
4,29,1980,3104,50,0,6,1
4,30,1980,3104,50,0,7,1
5,2,1980,3104,50,2.4,6.8,1
10,21,1997,3106,67,5.35,7.1,1
10,22,1997,3106,67,3.8,8.9,1
10,23,1997,3106,67,4.9,8.6,1
8,25,2000,3106,70,4.5,NA,3
9,21,2000,3106,70,4.5,NA,3
11,30,2000,3106,70,5.4,NA,3
12,7,2000,3106,70,4.5,NA,3
1,22,2001,3106,71,0,NA,3
1,23,2001,3106,71,0,NA,3
4,19,2001,3106,71,0,NA,3
5,11,2001,3106,71,4.5,NA,3
5,21,2001,3106,71,4.5,NA,3
5,22,2001,3106,71,0,NA,3
5,23,2001,3106,71,0,NA,3
5,24,2001,3106,71,12,NA,3
5,25,2001,3106,71,4.5,NA,3
8,11,2001,3106,71,0,NA,3
4,10,2004,3106,74,0,NA,3
9,21,2000,3107,70,4.5,NA,3
10,3,2000,3107,70,0,NA,3
10,12,2000,3107,70,4,NA,3
11,18,2000,3107,70,4.5,NA,3
2,12,2001,3107,71,5.4,NA,3
3,22,2001,3107,71,4.5,NA,3
11,2,2001,3107,71,0,NA,3
11,19,2001,3107,71,4.5,NA,3
11,27,2001,3107,71,4.5,NA,3
12,10,2001,3107,71,4.5,NA,3
4,25,1980,3114,48,0,6.7,1
4,26,1980,3114,48,13.5,9,1
4,28,1980,3114,48,0,8.5,1
4,29,1980,3114,48,0,6,1
4,30,1980,3114,48,0,7,1
5,2,1980,3114,48,0,6.8,1
7,5,1980,3114,48,2.2,7.1,1
7,6,1980,3114,48,0,9.8,1
7,7,1980,3114,48,2.2,8,1
7,8,1980,3114,48,0,3.9,1
7,13,1980,3114,48,14.36,8,1
11,6,1981,3114,49,1.5,8.1,1
11,7,1981,3114,49,0,5.2,1
11,8,1981,3114,49,0,7.2,1
11,10,1981,3114,49,6.23,10.5,1
11,11,1981,3114,49,4.2,7.4,1
11,12,1981,3114,49,2,6.9,1
11,13,1981,3114,49,0,6.9,1
4,18,1982,3114,50,0,6.7,1
4,19,1982,3114,50,0,5.3,1
4,20,1982,3114,50,0,8,1
4,22,1982,3114,50,0,2.1,1
4,23,1982,3114,50,4.3,9,1
4,24,1982,3114,50,7.4,9.4,1
4,25,1982,3114,50,6.41,7.7,1
4,26,1982,3114,50,0,7.1,1
1,10,1985,3114,53,0,10,1
1,12,1985,3114,53,5.1,9.2,1
1,13,1985,3114,53,5,6.7,1
1,14,1985,3114,53,5.4,9.1,1
7,19,1994,3114,62,3.93,7,1
7,20,1994,3114,62,0,8,1
7,21,1994,3114,62,10.4,5.18,1
8,5,1994,3114,62,0,2,1
7,10,1995,3114,63,4.96,NA,3
7,24,1995,3114,63,0,NA,3
7,25,1995,3114,63,4.87,NA,3
7,27,1995,3114,63,2.87,NA,3
8,2,1995,3114,63,13.53,NA,3
8,15,1995,3114,63,4.87,NA,3
8,20,1995,3114,63,4.96,NA,3
8,23,1995,3114,63,4.25,NA,3
9,10,1995,3114,63,13.29,NA,3
9,11,1995,3114,63,0,NA,3
9,12,1995,3114,63,0,NA,3
9,13,1995,3114,63,4.87,NA,3
9,14,1995,3114,63,0,NA,3
9,15,1995,3114,63,4.96,NA,3
10,4,1995,3114,63,4.96,NA,3
10,5,1995,3114,63,7.5,NA,3
10,6,1995,3114,63,2.75,NA,3
10,7,1995,3114,63,0,NA,3
10,8,1995,3114,63,0,NA,3
10,9,1995,3114,63,7.5,NA,3
10,10,1995,3114,63,0,NA,3
10,11,1995,3114,63,0,NA,3
10,31,1995,3114,63,0,NA,3
11,1,1995,3114,63,0,NA,3
11,2,1995,3114,63,0,NA,3
11,3,1995,3114,63,0,NA,3
11,4,1995,3114,63,0,NA,3
11,5,1995,3114,63,0,NA,3
12,16,1995,3114,63,2.75,NA,3
12,17,1995,3114,63,7.5,NA,3
1,9,1996,3114,64,0,NA,3
1,10,1996,3114,64,7.5,NA,3
1,11,1996,3114,64,0,NA,3
1,12,1996,3114,64,0,NA,3
1,13,1996,3114,64,0,NA,3
1,14,1996,3114,64,0,NA,3
1,15,1996,3114,64,0,NA,3
1,16,1996,3114,64,0,NA,3
2,8,1996,3114,64,4.87,NA,3
2,9,1996,3114,64,0,NA,3
2,10,1996,3114,64,4.96,NA,3
2,11,1996,3114,64,0,NA,3
2,12,1996,3114,64,7.5,NA,3
2,13,1996,3114,64,0,NA,3
2,26,1996,3114,64,9.74,NA,3
3,10,1996,3114,64,0,NA,3
3,11,1996,3114,64,4.87,NA,3
3,24,1996,3114,64,0,NA,3
3,25,1996,3114,64,7.72,NA,3
4,1,1996,3114,64,0,NA,3
4,2,1996,3114,64,7.5,NA,3
4,3,1996,3114,64,0,NA,3
4,10,1996,3114,64,3.71,NA,3
4,17,1996,3114,64,4.96,NA,3
4,18,1996,3114,64,4.96,NA,3
4,19,1996,3114,64,4.87,NA,3
4,20,1996,3114,64,0,NA,3
4,21,1996,3114,64,7.5,NA,3
5,9,1996,3114,64,0,NA,3
5,10,1996,3114,64,10.37,NA,3
5,11,1996,3114,64,0,NA,3
5,12,1996,3114,64,0,NA,3
5,13,1996,3114,64,0,NA,3
5,14,1996,3114,64,0,NA,3
5,15,1996,3114,64,9.82,NA,3
5,16,1996,3114,64,12.37,NA,3
5,17,1996,3114,64,0,NA,3
5,18,1996,3114,64,0,NA,3
5,19,1996,3114,64,0,NA,3
6,11,1996,3114,64,0,NA,3
6,12,1996,3114,64,4.96,NA,3
6,13,1996,3114,64,0,NA,3
6,14,1996,3114,64,0,NA,3
6,15,1996,3114,64,4.87,NA,3
6,25,1996,3114,64,4.96,NA,3
6,26,1996,3114,64,4.87,NA,3
6,27,1996,3114,64,0,NA,3
7,3,1996,3114,64,0,NA,3
7,4,1996,3114,64,7.5,NA,3
7,5,1996,3114,64,0,NA,3
7,6,1996,3114,64,0,NA,3
7,19,1996,3114,64,0,NA,3
7,20,1996,3114,64,0,NA,3
7,21,1996,3114,64,0,NA,3
7,22,1996,3114,64,0,NA,3
10,11,1996,3114,64,0,NA,1.1
10,12,1996,3114,64,8.1,NA,1.1
10,13,1996,3114,64,0,NA,1.1
10,15,1996,3114,64,0,NA,3
10,16,1996,3114,64,12.64,NA,3
10,17,1996,3114,64,0,NA,3
10,18,1996,3114,64,2.75,NA,3
10,27,1996,3114,64,4.87,NA,3
10,29,1996,3114,64,4.87,NA,3
11,5,1996,3114,64,0,NA,3
11,6,1996,3114,64,0,NA,3
11,7,1996,3114,64,4.87,NA,3
11,8,1996,3114,64,0,NA,3
11,24,1996,3114,64,4.87,NA,3
11,25,1996,3114,64,0,NA,3
11,26,1996,3114,64,7.5,NA,3
11,27,1996,3114,64,7.5,NA,3
12,1,1996,3114,64,4.87,NA,3
12,8,1996,3114,64,4.87,NA,3
12,13,1996,3114,64,4.96,NA,3
12,30,1996,3114,64,0,NA,3
12,31,1996,3114,64,4.96,NA,3
2,8,1997,3114,65,6.67,NA,3
2,9,1997,3114,65,4.96,NA,3
2,10,1997,3114,65,0,NA,3
2,11,1997,3114,65,6,NA,3
6,17,1997,3114,65,8.74,NA,3
6,18,1997,3114,65,0,NA,3
6,19,1997,3114,65,4.87,NA,3
6,20,1997,3114,65,0,NA,3
6,21,1997,3114,65,1.2,NA,3
6,22,1997,3114,65,2.85,NA,3
6,24,1997,3114,65,2.85,NA,3
7,7,1997,3114,65,0,NA,3
7,9,1997,3114,65,0,NA,3
7,10,1997,3114,65,4.87,NA,3
7,11,1997,3114,65,4.87,NA,3
7,13,1997,3114,65,0,NA,3
7,17,1997,3114,65,4.87,NA,3
7,18,1997,3114,65,9.82,NA,3
7,19,1997,3114,65,4.87,NA,3
7,20,1997,3114,65,0,NA,3
7,21,1997,3114,65,4.96,NA,3
7,22,1997,3114,65,0,NA,3
8,18,1997,3114,65,0,6.8,1
8,19,1997,3114,65,4.1,6.3,1
9,10,1997,3114,65,2.75,NA,3
9,11,1997,3114,65,0,NA,3
9,12,1997,3114,65,4.87,NA,3
9,13,1997,3114,65,0,NA,3
10,13,1997,3114,65,6,NA,3
11,4,1997,3114,65,2.85,NA,3
11,20,1997,3114,65,8.74,NA,3
11,21,1997,3114,65,0,NA,3
11,22,1997,3114,65,0,NA,3
11,23,1997,3114,65,0,NA,3
11,25,1997,3114,65,0,NA,3
11,26,1997,3114,65,0,NA,3
11,27,1997,3114,65,0,NA,3
12,20,1997,3114,65,0,NA,3
12,24,1997,3114,65,6.29,NA,3
12,27,1997,3114,65,0,6.9,1
12,28,1997,3114,65,0.15,10.5,1
12,29,1997,3114,65,0,5.9,1
12,30,1997,3114,65,0,5.2,1
1,16,1998,3114,66,4.87,NA,3
1,17,1998,3114,66,4.96,NA,3
1,22,1998,3114,66,2.6,NA,3
1,23,1998,3114,66,0,NA,3
1,25,1998,3114,66,7.8,NA,3
1,26,1998,3114,66,0,NA,3
2,12,1998,3114,66,0,NA,3
2,13,1998,3114,66,2.85,NA,3
2,14,1998,3114,66,2.85,NA,3
2,15,1998,3114,66,0,NA,3
2,16,1998,3114,66,7.8,NA,3
3,19,1998,3114,66,0,NA,3
3,20,1998,3114,66,0,NA,3
3,21,1998,3114,66,0,NA,3
3,22,1998,3114,66,7.8,NA,3
3,23,1998,3114,66,4.87,NA,3
3,24,1998,3114,66,0,NA,3
3,25,1998,3114,66,4.87,NA,3
3,26,1998,3114,66,8.02,NA,3
3,27,1998,3114,66,4.96,NA,3
3,28,1998,3114,66,4.87,NA,3
3,29,1998,3114,66,4.96,NA,3
4,4,1998,3114,66,9.82,NA,3
4,27,1998,3114,66,0,NA,3
4,28,1998,3114,66,0,2.15,1
4,29,1998,3114,66,0,4.53,1
4,30,1998,3114,66,5.3,6.92,1
5,1,1998,3114,66,0,NA,3
5,13,1998,3114,66,0,NA,3
6,1,1998,3114,66,0,NA,3
6,2,1998,3114,66,0,NA,3
6,3,1998,3114,66,0,NA,3
6,4,1998,3114,66,4.87,NA,3
6,5,1998,3114,66,0,NA,3
6,6,1998,3114,66,9.82,NA,3
6,7,1998,3114,66,0,NA,3
6,8,1998,3114,66,0,NA,3
6,13,1998,3114,66,8.74,NA,3
6,29,1998,3114,66,0,NA,3
6,30,1998,3114,66,4.87,NA,3
7,1,1998,3114,66,4.87,NA,3
7,2,1998,3114,66,5.62,NA,3
7,3,1998,3114,66,0,NA,3
7,4,1998,3114,66,8.71,NA,3
7,14,1998,3114,66,10.96,NA,3
7,15,1998,3114,66,9.91,NA,3
7,16,1998,3114,66,0,NA,3
7,17,1998,3114,66,4.96,NA,3
7,18,1998,3114,66,0,NA,3
7,19,1998,3114,66,0,NA,3
7,20,1998,3114,66,12.5,NA,3
7,21,1998,3114,66,4.96,NA,3
7,22,1998,3114,66,5.62,NA,3
7,23,1998,3114,66,4.96,NA,3
7,24,1998,3114,66,0,NA,3
8,21,1998,3114,66,0,NA,3
8,22,1998,3114,66,0,NA,3
8,23,1998,3114,66,0,NA,3
8,24,1998,3114,66,4.96,NA,3
9,2,1998,3114,66,2.15,NA,3
9,3,1998,3114,66,4.87,NA,3
9,4,1998,3114,66,0,NA,3
9,12,1998,3114,66,7.71,NA,3
9,17,1998,3114,66,4.96,NA,3
9,18,1998,3114,66,2.75,NA,3
9,21,1998,3114,66,0,NA,3
9,22,1998,3114,66,0,NA,3
10,1,1998,3114,66,2.85,NA,3
10,9,1998,3114,66,0,NA,3
6,2,1999,3114,67,4.96,NA,3
6,3,1999,3114,67,0,NA,3
6,4,1999,3114,67,4.96,NA,3
6,5,1999,3114,67,4.96,NA,3
6,6,1999,3114,67,4.87,NA,3
6,7,1999,3114,67,7.8,NA,3
6,18,1999,3114,67,0,NA,3
6,19,1999,3114,67,2.85,NA,3
6,20,1999,3114,67,0,NA,3
6,21,1999,3114,67,1.6,NA,3
6,22,1999,3114,67,0,NA,3
6,23,1999,3114,67,4.87,NA,3
7,28,1999,3114,67,4.96,NA,3
7,29,1999,3114,67,0,NA,3
7,30,1999,3114,67,0,NA,3
7,31,1999,3114,67,7.8,NA,3
8,1,1999,3114,67,0,NA,3
8,7,1999,3114,67,4.87,NA,3
8,8,1999,3114,67,4.87,NA,3
8,9,1999,3114,67,0,NA,3
8,18,1999,3114,67,0,NA,3
8,19,1999,3114,67,4.96,NA,3
8,20,1999,3114,67,0,NA,3
8,21,1999,3114,67,4.87,NA,3
8,22,1999,3114,67,13.69,NA,3
8,31,1999,3114,67,3.85,NA,3
9,17,1999,3114,67,0,NA,3
9,18,1999,3114,67,4.96,NA,3
9,19,1999,3114,67,4.96,NA,3
9,20,1999,3114,67,0,NA,3
10,10,1999,3114,67,13.76,NA,3
10,14,1999,3114,67,4.96,NA,3
10,15,1999,3114,67,4.87,NA,3
10,18,1999,3114,67,2.75,NA,3
10,19,1999,3114,67,0,NA,3
10,20,1999,3114,67,8.74,NA,3
10,21,1999,3114,67,0,NA,3
10,22,1999,3114,67,7.8,NA,3
10,23,1999,3114,67,4.96,NA,3
10,31,1999,3114,67,0,NA,3
11,1,1999,3114,67,0,NA,3
11,2,1999,3114,67,0,NA,3
11,3,1999,3114,67,0,NA,3
11,4,1999,3114,67,0,NA,3
11,5,1999,3114,67,4.87,NA,3
11,6,1999,3114,67,2.75,NA,3
11,23,1999,3114,67,0,NA,3
11,24,1999,3114,67,0,NA,3
11,25,1999,3114,67,0,NA,3
11,26,1999,3114,67,8.74,NA,3
11,27,1999,3114,67,0,NA,3
11,28,1999,3114,67,0,NA,3
11,29,1999,3114,67,0,NA,3
11,30,1999,3114,67,4.87,NA,3
12,1,1999,3114,67,0,NA,3
12,2,1999,3114,67,4.96,NA,3
12,3,1999,3114,67,0,NA,3
12,4,1999,3114,67,2.75,NA,3
12,5,1999,3114,67,2.3,NA,3
1,26,2000,3114,68,5.14,NA,3
1,27,2000,3114,68,0,NA,3
1,28,2000,3114,68,0,NA,3
2,2,2000,3114,68,8.74,NA,3
2,3,2000,3114,68,4.96,NA,3
2,4,2000,3114,68,0,NA,3
2,7,2000,3114,68,0,NA,3
3,2,2000,3114,68,0,NA,3
3,3,2000,3114,68,0,NA,3
3,4,2000,3114,68,0,NA,3
3,5,2000,3114,68,0,NA,3
3,6,2000,3114,68,0,NA,3
3,7,2000,3114,68,0,NA,3
4,5,2000,3114,68,10.03,NA,3
4,14,2000,3114,68,7.8,NA,3
5,12,2000,3114,68,0,NA,3
5,14,2000,3114,68,4.87,NA,3
5,15,2000,3114,68,3.5,NA,3
5,16,2000,3114,68,0,NA,3
5,17,2000,3114,68,4.96,NA,3
5,18,2000,3114,68,0,NA,3
5,19,2000,3114,68,4.87,NA,3
5,20,2000,3114,68,0,NA,3
5,21,2000,3114,68,0,NA,3
5,22,2000,3114,68,0,NA,3
8,1,2000,3114,68,0,NA,3
8,2,2000,3114,68,0,NA,3
8,7,2000,3114,68,0,NA,3
8,8,2000,3114,68,0,NA,3
8,9,2000,3114,68,0,NA,3
8,10,2000,3114,68,0,NA,3
8,11,2000,3114,68,2.85,NA,3
8,12,2000,3114,68,0,NA,3
8,13,2000,3114,68,0,NA,3
8,14,2000,3114,68,0,NA,3
8,15,2000,3114,68,0,NA,3
8,16,2000,3114,68,0,NA,3
8,17,2000,3114,68,0,NA,3
8,30,2000,3114,68,0,NA,3
8,31,2000,3114,68,0,NA,3
9,2,2000,3114,68,0,NA,3
9,3,2000,3114,68,0,NA,3
9,4,2000,3114,68,7.8,NA,3
9,5,2000,3114,68,2.75,NA,3
9,6,2000,3114,68,4.87,NA,3
9,7,2000,3114,68,0,NA,3
9,25,2000,3114,68,0,NA,3
9,26,2000,3114,68,4.87,NA,3
9,27,2000,3114,68,0,NA,3
9,28,2000,3114,68,0,NA,3
9,29,2000,3114,68,0,NA,3
9,30,2000,3114,68,0,NA,3
10,1,2000,3114,68,2.75,NA,3
10,2,2000,3114,68,2.75,NA,3
10,3,2000,3114,68,0,NA,3
10,6,2000,3114,68,0,NA,3
10,7,2000,3114,68,1.43,NA,3
10,8,2000,3114,68,8.74,NA,3
10,9,2000,3114,68,8.74,NA,3
10,21,2000,3114,68,0,NA,3
10,22,2000,3114,68,0,NA,3
10,23,2000,3114,68,8.74,NA,3
10,24,2000,3114,68,0,NA,3
10,25,2000,3114,68,2.75,NA,3
10,26,2000,3114,68,4.96,NA,3
10,27,2000,3114,68,0,NA,3
12,9,2000,3114,68,0,NA,3
12,10,2000,3114,68,0,NA,3
12,11,2000,3114,68,3.71,NA,3
12,12,2000,3114,68,4.96,NA,3
12,13,2000,3114,68,4.87,NA,3
12,14,2000,3114,68,4.87,NA,3
12,15,2000,3114,68,4.87,NA,3
12,16,2000,3114,68,7.8,NA,3
12,17,2000,3114,68,2.85,NA,3
12,18,2000,3114,68,0,NA,3
12,19,2000,3114,68,4.25,NA,3
12,20,2000,3114,68,3.71,NA,3
12,27,2000,3114,68,0,NA,3
12,28,2000,3114,68,0,NA,3
12,29,2000,3114,68,0,NA,3
12,30,2000,3114,68,0,NA,3
1,9,2001,3114,69,4.87,NA,3
1,10,2001,3114,69,7.8,NA,3
1,11,2001,3114,69,0,NA,3
1,12,2001,3114,69,0,NA,3
1,18,2001,3114,69,0,NA,3
1,19,2001,3114,69,0,NA,3
1,20,2001,3114,69,0,NA,3
3,9,2001,3114,69,0,NA,3
3,10,2001,3114,69,0,NA,3
3,15,2001,3114,69,0,NA,3
3,16,2001,3114,69,0,NA,3
3,17,2001,3114,69,0,NA,3
3,18,2001,3114,69,0,NA,3
3,19,2001,3114,69,4.87,NA,3
3,20,2001,3114,69,0,NA,3
3,21,2001,3114,69,0,NA,3
3,22,2001,3114,69,0,NA,3
4,4,2001,3114,69,0,NA,3
4,5,2001,3114,69,0,NA,3
4,8,2001,3114,69,0,NA,3
4,9,2001,3114,69,8.74,NA,3
4,10,2001,3114,69,0,NA,3
4,11,2001,3114,69,0,NA,3
4,12,2001,3114,69,0,NA,3
4,27,2001,3114,69,0,NA,3
4,28,2001,3114,69,7.8,NA,3
5,30,2001,3114,69,0,NA,3
5,31,2001,3114,69,8.74,NA,3
6,1,2001,3114,69,0,NA,3
6,2,2001,3114,69,8.74,NA,3
6,13,2001,3114,69,0,NA,3
6,15,2001,3114,69,0,NA,3
6,16,2001,3114,69,0,NA,3
6,17,2001,3114,69,0,NA,3
6,18,2001,3114,69,0,NA,3
6,19,2001,3114,69,0,NA,3
6,20,2001,3114,69,0,NA,3
6,21,2001,3114,69,4.87,NA,3
